Timestamp,Component,Event_ID
2024-06-14 15:16:01,sshd(pam_unix),16
2024-06-14 15:16:02,sshd(pam_unix),27
2024-06-14 15:16:02,sshd(pam_unix),16
2024-06-15 02:04:59,sshd(pam_unix),18
2024-06-15 02:04:59,sshd(pam_unix),18
2024-06-15 02:04:59,sshd(pam_unix),18
2024-06-15 02:04:59,sshd(pam_unix),18
2024-06-15 02:04:59,sshd(pam_unix),18
2024-06-15 02:04:59,sshd(pam_unix),18
2024-06-15 02:04:59,sshd(pam_unix),18
2024-06-15 02:04:59,sshd(pam_unix),18
2024-06-15 02:04:59,sshd(pam_unix),18
2024-06-15 02:04:59,sshd(pam_unix),18
2024-06-15 04:06:18,su(pam_unix),102
2024-06-15 04:06:19,su(pam_unix),101
2024-06-15 04:06:20,logrotate,8
2024-06-15 04:12:42,su(pam_unix),102
2024-06-15 04:12:43,su(pam_unix),101
2024-06-15 12:12:34,sshd(pam_unix),16
2024-06-15 12:12:34,sshd(pam_unix),27
2024-06-15 12:12:34,sshd(pam_unix),16
2024-06-15 12:12:34,sshd(pam_unix),16
2024-06-15 12:12:34,sshd(pam_unix),16
2024-06-15 12:12:34,sshd(pam_unix),27
2024-06-15 12:12:34,sshd(pam_unix),16
2024-06-15 12:12:34,sshd(pam_unix),27
2024-06-15 12:12:34,sshd(pam_unix),27
2024-06-15 12:12:34,sshd(pam_unix),27
2024-06-15 12:12:34,sshd(pam_unix),27
2024-06-15 12:12:34,sshd(pam_unix),27
2024-06-15 12:12:34,sshd(pam_unix),16
2024-06-15 12:12:34,sshd(pam_unix),27
2024-06-15 12:12:34,sshd(pam_unix),16
2024-06-15 12:12:34,sshd(pam_unix),16
2024-06-15 12:12:34,sshd(pam_unix),16
2024-06-15 12:12:34,sshd(pam_unix),27
2024-06-15 12:12:34,sshd(pam_unix),16
2024-06-15 12:12:34,sshd(pam_unix),27
2024-06-15 12:13:19,sshd(pam_unix),27
2024-06-15 12:13:19,sshd(pam_unix),16
2024-06-15 12:13:20,sshd(pam_unix),27
